name,region
Amudarya region,Karakalpakstan
Beruni district,Karakalpakstan
Kegeilinsky district,Karakalpakstan
Kanlykul district,Karakalpakstan
Karaozak district,Karakalpakstan
Kungrad region,Karakalpakstan
Moinak district,Karakalpakstan
Nukus district,Karakalpakstan
Nukus city,Karakalpakstan
Takhtakopir district,Karakalpakstan
Turtkul district,Karakalpakstan
Khojaili district,Karakalpakstan
Chimbay district,Karakalpakstan
Shumanai district,Karakalpakstan
Ellikkala district,Karakalpakstan
Andijan,Andijan
Andijan region,Andijan
Asaka district,Andijan
Balikchi region,Andijan
Bulakbashi district,Andijan
Boz district,Andijan
Jalal-Abad region,Andijan
Izbosgan district,Andijan
Karasuv,Andijan
Kurgantepa district,Andijan
Markhamat district,Andijan
Oltinkol district,Andijan
Pakhtaabad region,Andijan
Ulugnor region,Andijan
Khanabad region,Andijan
Khojaabad region,Andijan
Shakhrikhan district,Andijan
Bukhara,Bukhara
Bukhara region,Bukhara
Vobkent district,Bukhara
Gijduvon district,Bukhara
Zhondor district,Bukhara
Kogon district,Bukhara
Kagan,Bukhara
Karakol district,Bukhara
Karavulbozor district,Bukhara
Olotsky District,Bukhara
Peshkunsky district,Bukhara
Romitan region,Bukhara
Shofirkon district,Bukhara
Arnasay district,Jizzak
Bakhmal region,Jizzakh
Gallaorol district,Jizzak
Dostlik district,Jizzakh
Sh.Rashidov district,Jizzak
Jizzak city,Jizzak
Zarbdor region,Jizzakh
Zafarabad district,Jizzak
Zominsky district,Jizzak
Mirzachol district,Jizzak
Pakhtakor region,Jizzak
Forish district,Jizzakh
Yangiabad region,Jizzak
Jizzakh region,Jizzakh
Shakhrisabz city,Kashkadarya
Guzar district,Kashkadarya
Dehkanabad region,Kashkadarya
Kamashinsky district,Kashkadarya
Karshi district,Kashkadarya
Karshi,Kashkadarya
Kasbinsky district,Kashkadarya
Kitab district,Kashkadarya
Kasansky district,Kashkadarya
Mirishkor district,Kashkadarya
Mubarek region,Kashkadarya
Nishan district,Kashkadarya
Chirakchi district,Kashkadarya
Shakhrisabz district,Kashkadarya
Yakkabag district,Kashkadarya
Zarafshan city,Navoi
Karmanovsky district,Navoi
Kyzyltepa district,Navoi
Konimeksky district,Navoi
Navbakhor district,Navoi
Navoi city,Navoi city
Nurotsky district,Navoi
Tomdinsky district,Navoi
Uchkuduk district,Navoi
Khatyrchinsky district,Navoi
Kosonsoy district,Namangan
Mingbulak district,Namangan
Namangan region,Namangan
Namangan,Namangan
Norinsky district,Namangan
Pop district,Namangan
Toraqoqorg'on district,Namangan
Uychi district,Namangan
Uchkurgan district,Namangan
Chartak district,Namangan
Chust district,Namangan
Yangiqorg'on district,Namangan
Bulungʼur district,Samarkand
Jambay district,Samarkand
Ishtikhon district,Samarkand
Kattakurgan district,Samarkand
Kattakurgan city,Samarkand
Koshrabot district,Samarkand
Narpay district,Samarkand
Nurabad district,Samarkand
Aqdarya district,Samarkand
Payariq district,Samarkand
Pastargom district,Samarkand
Pakhtachi district,Samarkand
Samarkand district,Samarkand
Samarkand city,Samarkand
Taylaq district,Samarkand
Urgut district,Samarkand
Angor district,Surkhandarya
Boysun district,Surkhandarya
Denov district,Surkhandarya
Jarqorg'on district,Surkhandarya
Qizirik district,Surkhandarya
Qomqo'rg'on district,Surkhandarya
Muzrabot district,Surkhandarya
Oltinsoy district,Surkhandarya
Sariosiy district,Surkhandarya
Termez district,Surkhandarya
Termez city,Surkhandarya
Uzun district,Surkhandarya
Sherabad district,Surkhandarya
Shurchi district,Surkhandarya
Boyovut district,Sirdarya
Gulistan district,Sirdarya
Gulistan city,Sirdarya
Mirzaabad district,Sirdarya
Oqoltin district,Sirdarya
Sayxunabad district,Sirdarya
Sardoba district,Sirdarya
Sirdarya district,Sirdarya
Havos district,Sirdarya
Sweet city,Sirdarya
Yangier city,Sirdarya
Nurafshan city,Tashkent region
Angiren city,Tashkent region
Bekabad district,Tashkent region
Bekabad city,Tashkent region
Boka district,Tashkent region
Bostanliq district,Tashkent region
Zangiota district,Tashkent region
Qibray district,Tashkent region
Quyichirchik district,Tashkent region
Akkurgan district,Tashkent region
Almalyk city,Tashkent region
Ahangaron district,Tashkent region
Parkent district,Tashkent region
Piskent district,Tashkent region
Ortachirchik district,Tashkent region
Chinoz district,Tashkent region
Chirchik city,Tashkent region
Yukorichirchik district,Tashkent region
Yangiyul district,Tashkent region
Besharik district,Fergana
Baghdad district,Fergana
Buvayda district,Fergana
Dangʼara district,Fergana
Yazyovan district,Fergana
Quva district,Fergana
Quvasoy city,Fergana
Kokand city,Fergana
Qo`shtepa district,Fergana
Margilan city,Fergana
Altiariq district,Fergana
Rishtan district,Fergana
Soʼx district,Fergana
Toshloq district,Fergana
Uchkuprik district,Fergana
Uzbekistan district,Fergana
Fergana district,Fergana
Fergana city,Fergana
Furqat district,Fergana
Bagat district,Khorezm
Gurlan district,Khorezm
Koshkopir district,Khorezm
Urgench district,Khorezm
Urgench city,Khorezm
Khiva district,Khorezm
Khazarasp district,Khorezm
Xonqa district,Khorezm
Shavot district,Khorezm
Yangiariq district,Khorezm
Yangibazar district,Khorezm
Bektimer district,Tashkent city
M.Ulugbek district,Tashkent city
Mirabad district,Tashkent city
Almazar district,Tashkent city
Sergeli district,Tashkent city
Uchtepa district,Tashkent city
Yashnabad district,Tashkent city
Chilanzar district,Tashkent city
Shayhantahur district,Tashkent city
Yunusabad district,Tashkent city
Yakkasaray district,Tashkent city
New Hayot district,Tashkent city
Takhiatash city,Karakalpakstan
Asaka city,Andijan
Bandikhan district,Surkhandarya
Ahangaron city,Tashkent region
Yangiyul city,Tashkent region
Tashkent district,Tashkent region
Khiva city,Khorezm
City of friendship,Khorezm
Toprakkala district,Khorezm